Url,ExpirationOn,CertExpiresInDays,CheckResult,Details,Server,Service
https://em451129.ahima.org,6/9/2022 18:59,594,OKAY,,,
https://engage.ahima.org,12/30/2020 9:05,67,OKAY,,,
https://enterpriseenrollment.ahima.org,3/15/2021 19:30,143,OKAY,,,
https://enterpriseregistration.ahima.org,,,ERROR,"Exception while checking URL https://enterpriseregistration.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote server returned an error: (404) Not Found."" ",,
https://find.ahima.org,,,ERROR,"Exception while checking URL https://find.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The operation has timed out"" ",,
https://freshservice.ahima.org,11/5/2021 19:00,378,OKAY,,,
https://guest-wifi.ahima.org,,,ERROR,"Exception while checking URL https://guest-wifi.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The operation has timed out"" ",,
https://hbinfo.ahima.org,,,ERROR,"Exception while checking URL https://hbinfo.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote server returned an error: (404) Not Found."" ",,
https://higherlogic.ahima.org,,,ERROR,"Exception while checking URL https://higherlogic.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote server returned an error: (500) Internal Server Error."" ",,
https://hs1-7932134._domainkey.ahima.org,,,ERROR,"Exception while checking URL https://hs1-7932134._domainkey.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote name could not be resolved: 'hs1-7932134._domainkey.ahima.org'"" ",,
https://hs1._domainkey.7932134t.ahima.org,,,ERROR,"Exception while checking URL https://hs1._domainkey.7932134t.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote name could not be resolved: 'hs1._domainkey.7932134t.ahima.org'"" ",,
https://hs2-7932134._domainkey.ahima.org,,,ERROR,"Exception while checking URL https://hs2-7932134._domainkey.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote name could not be resolved: 'hs2-7932134._domainkey.ahima.org'"" ",,
https://hs2._domainkey.7932134t.ahima.org,,,ERROR,"Exception while checking URL https://hs2._domainkey.7932134t.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote name could not be resolved: 'hs2._domainkey.7932134t.ahima.org'"" ",,
https://hybrid.ahima.org,9/8/2022 15:09,685,OKAY,,CHI-VM-EXCAS,
https://international.ahima.org,9/8/2022 15:09,685,OKAY,,,Web_production
https://iso.ahima.org,9/8/2022 15:09,685,OKAY,,Ch1cld06 & 07,
https://ivote.ahima.org,9/8/2022 15:09,685,OKAY,,AHIMAWEB-01B,
